id,parents,battery,load,dataProbability
2,1,11631.206351384617,10.0,85.0
3,1,11544.090526769229,10.0,100.0
4,1,11554.152173730768,10.0,100.0
5,1,11851.967200384617,10.0,100.0
6,1,11832.454604653845,10.0,100.0
7,2,11707.329759423079,10.0,100.0
8,1,11838.56475576923,10.0,85.0
9,1,5651.619905576924,10.0,100.0
10,2,11876.108451923077,10.0,100.0
11,1,11838.926040038463,10.0,100.0
12,2,11656.429432576926,10.0,100.0
13,1,11873.468300999999,10.0,100.0
14,1,11859.282132923077,10.0,85.0
15,1,11855.840645999999,10.0,100.0
16,1,116867.25168000007,200.0,100.0
