Run,PacketLoss,EnergyConsumption
0,0.659783,249.624133
1,0.005319,678.10486
2,0.206383,393.211455
3,0.296774,349.895331
4,0.367021,312.890831
5,0.395652,277.123657
6,0.447826,241.258224
7,0.474468,238.061563
8,0.482418,229.296136
9,0.482609,228.369912
10,0.466316,209.249516
11,0.407527,208.536661
12,0.463441,197.324718
13,0.23617,231.239746
14,0.188043,235.8688
15,0.219149,236.302705
16,0.162766,238.827901
17,0.148913,238.866058
18,0.18587,230.6296
19,0.192473,233.354319
20,0.133333,236.735741
21,0.170968,239.398391
22,0.247872,232.898065
23,0.443011,213.694002
24,0.432258,215.088352
25,0.61087,201.230317
26,0.603297,200.531522
27,0.395699,217.297645
28,0.173913,234.76986
29,0.176344,234.356164
30,0.235484,229.63175
31,0.389247,218.30059
32,0.174194,234.16492
33,0.660215,176.016284
34,0.25,215.680097
35,0.533333,179.483863
36,0.337634,209.822983
37,0.292473,224.892455
38,0.563441,206.167861
39,0.405376,202.320345
40,0.366304,201.283646
41,0.45914,191.344057
42,0.547826,173.591954
43,0.444565,190.533169
44,0.219355,224.848512
45,0.169892,234.67693
46,0.194565,231.544479
47,0.565591,204.041539
48,0.175269,233.80125
49,0.235165,225.601096
50,0.228261,227.378801
51,0.203261,231.756046
52,0.318478,217.145658
53,0.87957,179.649224
54,0.366304,204.470291
55,0.26413,219.992433
56,0.307609,220.287374
57,0.718889,190.629742
58,0.449451,195.532083
59,0.536559,197.068812
60,0.504301,208.767922
61,0.532609,183.087274
62,0.869565,169.861858
63,0.755914,189.732926
64,0.473913,189.689561
65,0.250538,218.614239
66,0.254348,227.756425
67,0.234783,229.39656
68,0.198925,232.126895
69,0.215217,230.776492
70,0.532967,206.875343
71,0.518478,207.041516
72,0.343478,213.941468
73,0.475269,190.510989
74,0.489247,182.479616
75,0.247826,217.150989
76,0.177419,233.344302
77,0.184615,233.257916
78,0.178261,232.020591
79,0.430108,196.725519
80,0.244086,221.113669
81,0.151087,234.254839
82,0.256989,225.45206
83,0.170968,234.415338
84,0.183696,232.737163
85,0.260215,227.660252
86,0.213043,231.109939
87,0.498936,186.854888
88,0.256989,216.072021
89,0.48587,188.404759
90,0.646809,193.347746
91,0.369892,207.825252
92,0.304301,218.833331
93,0.151064,238.732424
94,0.406522,214.680157
